ID,Category,Sample Query,Ground Truth Answer,Source Document
15,Act,How is income sourced as 'within the United States' for tax purposes?,"IRC § 861 provides rules for determining whether income (compensation, interest, dividends, rents, etc.) is treated as U.S.-source, which matters heavily for taxing nonresidents and foreign income.",Internal Revenue Code § 861
16,Act,Can I defer tax on a real estate exchange?,"Yes, for real property held for productive use in a trade or business or investment, IRC § 1031 allows deferral of gain recognition when exchanged for like-kind real property.",Internal Revenue Code § 1031
17,Act,Is a property transfer between divorcing spouses taxable?,"No. IRC § 1041 provides that transfers of property between spouses, or between former spouses incident to divorce, are treated as gifts and don't trigger recognized gain or loss.",Internal Revenue Code § 1041
18,Act,How much capital loss can I deduct against ordinary income?,"IRC § 1211 limits the deduction of capital losses; individuals may offset capital losses against capital gains plus up to $3,000 of ordinary income per year, with the excess carried forward.",Internal Revenue Code § 1211
19,Act,What are the eligibility requirements for S corporation status?,"IRC § 1361 requires an S corporation to be a domestic corporation with no more than 100 shareholders (generally individuals, estates, or certain trusts), a single class of stock, and no nonresident alien shareholders.",Internal Revenue Code § 1361
20,Act,How long does the IRS have to audit my tax return?,"Generally three years from the filing date under IRC § 6501, extending to six years for substantial income omissions, with no limit at all for fraudulent returns.",Internal Revenue Code § 6501
21,Act,What penalty applies for underpaying tax due to negligence?,"IRC § 6662 imposes a 20% accuracy-related penalty on the portion of an underpayment attributable to negligence, substantial understatement, or certain other listed causes.",Internal Revenue Code § 6662
22,Act,What is the criminal penalty for tax evasion?,"IRC § 7201 makes willful attempts to evade or defeat any tax a felony, punishable by up to 5 years imprisonment and significant fines.",Internal Revenue Code § 7201
23,Act,What did the Tax Cuts and Jobs Act change for individual tax brackets?,"The TCJA of 2017 lowered individual tax rates, nearly doubled the standard deduction, capped the state and local tax (SALT) deduction at $10,000, and eliminated personal exemptions, mostly through 2025.",Tax Cuts and Jobs Act of 2017 (Pub. L. 115-97)
24,Act,What federal relief did the CARES Act provide during the COVID-19 pandemic?,"The CARES Act of 2020 (Pub. L. 116-136) provided direct stimulus payments, expanded unemployment benefits, the Paycheck Protection Program for small businesses, and temporary tax relief including relaxed retirement account withdrawal penalties and expanded charitable deduction limits.",CARES Act (Pub. L. 116-136)
25,Act,Does the Affordable Care Act still impose a tax penalty for not having health insurance?,"The ACA originally imposed a shared responsibility payment for not maintaining minimum essential coverage; Congress reduced this penalty to $0 starting in 2019, though the underlying mandate provision remains in the Code.",Affordable Care Act (Pub. L. 111-148)
26,Court Judgment,Can a state require an out-of-state online retailer to collect sales tax without a physical presence?,"Yes. In South Dakota v. Wayfair (2018), the Supreme Court overturned the physical-presence rule from Quill, holding that substantial economic/virtual presence can establish sufficient nexus for a state to require sales tax collection.","South Dakota v. Wayfair, Inc., 585 U.S. ___ (2018)"
27,Court Judgment,Was the ACA's individual mandate upheld as constitutional?,"Yes. In NFIB v. Sebelius (2012), the Supreme Court upheld the individual mandate as a valid exercise of Congress's taxing power, even while finding it exceeded the Commerce Clause power.","Nat'l Fed. of Indep. Business v. Sebelius, 567 U.S. 519 (2012)"
28,Court Judgment,Does a punitive damages award count as taxable income?,"Yes. Commissioner v. Glenshaw Glass (1955) established a broad definition of gross income as any 'undeniable accessions to wealth,' a standard that has been applied to include punitive damages.","Commissioner v. Glenshaw Glass Co., 348 U.S. 426 (1955)"
29,Court Judgment,"Can a transaction structured solely to avoid tax, with no business purpose, still get favorable tax treatment?","No. Gregory v. Helvering (1935) established the business-purpose doctrine, holding that a reorganization lacking any business purpose beyond tax avoidance won't receive the statute's favorable treatment even if it fits the literal terms.","Gregory v. Helvering, 293 U.S. 465 (1935)"
30,Court Judgment,Is a stock dividend taxable income?,"Historically no — Eisner v. Macomber (1920) held that a pro-rata stock dividend, without more, isn't realized income under the 16th Amendment because the shareholder's proportional interest is unchanged.","Eisner v. Macomber, 252 U.S. 189 (1920)"
31,Court Judgment,How do courts distinguish a tax-free gift from taxable income?,"Commissioner v. Duberstein (1960) held the test turns on the transferor's dominant motive — a transfer from detached and disinterested generosity is a gift, while one made in expectation of a business benefit is taxable income.","Commissioner v. Duberstein, 363 U.S. 278 (1960)"
32,Court Judgment,Is a genuine but unreasonable belief that wages aren't taxable a defense to willful tax evasion charges?,"Yes. Cheek v. United States (1991) held that a good-faith belief, even if objectively unreasonable, negates the willfulness required for criminal tax evasion.","Cheek v. United States, 498 U.S. 192 (1991)"
33,Court Judgment,How did the end of DOMA affect federal tax treatment of same-sex marriages?,"United States v. Windsor (2013) struck down DOMA's federal definition of marriage, leading the IRS to recognize same-sex marriages for federal tax purposes regardless of state of residence.","United States v. Windsor, 570 U.S. 744 (2013)"
34,Court Judgment,Are refundable customer deposits taxable income to the utility that receives them?,No. Commissioner v. Indianapolis Power & Light (1990) held that deposits with a genuine obligation to be refunded aren't includible in gross income because they lack the complete dominion associated with income.,"Commissioner v. Indianapolis Power & Light Co., 493 U.S. 203 (1990)"
35,Court Judgment,Will the IRS respect a sale-leaseback transaction for tax purposes?,It depends on economic substance. Frank Lyon Co. v. United States (1978) upheld a sale-leaseback as bona fide because it had a genuine business purpose and economic substance beyond tax benefits.,"Frank Lyon Co. v. United States, 435 U.S. 561 (1978)"
36,Court Judgment,Can a taxpayer deduct interest on a loan structured purely to generate a tax deduction with no real economic risk?,"No. Knetsch v. United States (1960) disallowed interest deductions on a transaction with no economic substance beyond generating a tax deduction, calling it a sham.","Knetsch v. United States, 364 U.S. 361 (1960)"
37,Court Judgment,What makes a business expense 'ordinary and necessary' under § 162?,"Welch v. Helvering (1933) held an expense is 'necessary' if appropriate and helpful to the business, and 'ordinary' if common in the taxpayer's line of business, even if unusual for that taxpayer.","Welch v. Helvering, 290 U.S. 111 (1933)"
38,Court Judgment,Is merely managing one's own investments considered a trade or business?,"No. Higgins v. Commissioner (1941) held that managing one's own investments, however extensive, doesn't by itself constitute carrying on a trade or business for tax purposes.","Higgins v. Commissioner, 312 U.S. 212 (1941)"
39,Court Judgment,Can expenses from an illegal business still be deducted?,"Yes, if the specific expenses aren't themselves illegal. Commissioner v. Sullivan (1958) allowed deduction of rent and wages for an illegal bookmaking operation because those particular expenditures weren't themselves illegal.","Commissioner v. Sullivan, 356 U.S. 27 (1958)"
40,Court Judgment,Are gains from hedging transactions taxed as ordinary income or capital gain?,"Corn Products Refining Co. v. Commissioner (1955) held that hedging transactions integral to a business's operations produce ordinary income or loss, not capital gain, though later narrowed by Arkansas Best.","Corn Products Refining Co. v. Commissioner, 350 U.S. 46 (1955)"
41,Court Judgment,Does a business purpose for acquiring an asset determine whether it's a capital asset?,No. Arkansas Best Corp. v. Commissioner (1988) held that a taxpayer's motivation for acquiring property doesn't change whether it falls within the broad statutory definition of a capital asset.,"Arkansas Best Corp. v. Commissioner, 485 U.S. 212 (1988)"
42,Court Judgment,Must expenses that create a long-term benefit be capitalized instead of deducted?,"Yes, generally. INDOPCO v. Commissioner (1992) held that expenditures producing significant benefits extending substantially beyond the current tax year must be capitalized rather than immediately deducted.","INDOPCO, Inc. v. Commissioner, 503 U.S. 79 (1992)"
43,Court Judgment,What test determines if travel expenses away from home are deductible?,United States v. Correll (1967) upheld the IRS's 'sleep or rest' rule — travel expenses are deductible only if the trip requires sleep or rest away from the taxpayer's tax home.,"United States v. Correll, 389 U.S. 299 (1967)"
44,Court Judgment,Can full-time gambling count as a trade or business for tax purposes?,"Yes. Commissioner v. Groetzinger (1987) held that a taxpayer who gambled full-time with continuity and regularity for a livelihood, not merely as a hobby, was engaged in a trade or business.","Commissioner v. Groetzinger, 480 U.S. 23 (1987)"
45,Court Judgment,Can the IRS revoke tax-exempt status from an organization that violates public policy?,"Yes. Bob Jones University v. United States (1983) held that § 501(c)(3) status requires an organization's purpose not be contrary to established public policy, upholding revocation of exemption for racially discriminatory practices.","Bob Jones University v. United States, 461 U.S. 574 (1983)"
46,Court Judgment,Can Congress restrict lobbying by tax-exempt charities without violating free speech?,"Yes. Regan v. Taxation With Representation (1983) upheld restrictions on substantial lobbying by § 501(c)(3) organizations as a valid condition of the tax subsidy, not a First Amendment violation.","Regan v. Taxation With Representation, 461 U.S. 540 (1983)"
47,Court Judgment,What test determines if a state tax on interstate commerce is constitutional?,"Complete Auto Transit v. Brady (1977) established a four-part test: the tax must apply to an activity with substantial nexus to the state, be fairly apportioned, not discriminate against interstate commerce, and be fairly related to services provided.","Complete Auto Transit, Inc. v. Brady, 430 U.S. 274 (1977)"
48,Court Judgment,What nexus standard did states use for sales tax collection before Wayfair?,Quill Corp. v. North Dakota (1992) required a business to have physical presence in a state before that state could compel sales tax collection — later overturned by South Dakota v. Wayfair (2018).,"Quill Corp. v. North Dakota, 504 U.S. 298 (1992)"
49,Court Judgment,Can a taxpayer avoid tax on interest income by gifting bond coupons to someone else before they're paid?,"No. Helvering v. Horst (1940) established the assignment-of-income doctrine, holding that income is taxed to the person who earns it even if they assign the right to receive it to someone else first.","Helvering v. Horst, 311 U.S. 112 (1940)"
50,Court Judgment,Does nonrecourse debt on real estate get included in the property's tax basis?,"Yes. Crane v. Commissioner (1947) held that nonrecourse mortgage debt is included in both the basis of property and the amount realized on its disposition, treating it like recourse debt for these purposes.","Crane v. Commissioner, 331 U.S. 1 (1947)"
51,Tax Document,Where can I find a general overview of individual federal income tax filing rules?,"IRS Publication 17, Your Federal Income Tax, provides a comprehensive overview of filing status, income, deductions, and credits for individual taxpayers.",IRS Publication 17 – Your Federal Income Tax
52,Tax Document,What guidance does the IRS provide for sole proprietors?,"IRS Publication 334, Tax Guide for Small Business, covers recordkeeping, income and expense reporting, and self-employment tax obligations for sole proprietors.",IRS Publication 334 – Tax Guide for Small Business
53,Tax Document,What travel expenses can I deduct for business trips?,"IRS Publication 463 covers deductible travel, gift, and car expenses, including per diem rules, substantiation requirements, and the standard mileage rate.","IRS Publication 463 – Travel, Gift, and Car Expenses"
54,Tax Document,Who qualifies as my dependent for tax purposes?,"IRS Publication 501 explains the qualifying child and qualifying relative tests, filing status rules, and standard deduction amounts.","IRS Publication 501 – Dependents, Standard Deduction, Filing Info"
55,Tax Document,Which medical expenses are tax-deductible?,"IRS Publication 502 lists deductible medical and dental expenses, subject to the 7.5%-of-AGI threshold for itemized deductions.",IRS Publication 502 – Medical and Dental Expenses
56,Tax Document,How do I calculate the right amount of estimated tax to pay quarterly?,"IRS Publication 505 explains withholding and estimated tax rules, including safe harbor amounts to avoid underpayment penalties.",IRS Publication 505 – Tax Withholding and Estimated Tax
57,Tax Document,Is a settlement payment from a lawsuit taxable income?,"IRS Publication 525 explains which types of income are taxable versus excludable, including how personal injury versus other settlement proceeds are typically treated.",IRS Publication 525 – Taxable and Nontaxable Income
58,Tax Document,What documentation do I need for a charitable donation deduction?,"IRS Publication 526 explains substantiation requirements, including written acknowledgment for donations of $250 or more and appraisal requirements for noncash gifts.",IRS Publication 526 – Charitable Contributions
59,Tax Document,What counts as a deductible business expense?,"IRS Publication 535 provides detailed guidance on deducting ordinary and necessary business expenses, including startup costs, bad debts, and business use of a car or home.",IRS Publication 535 – Business Expenses
60,Tax Document,How is a partner's basis in a partnership calculated?,"IRS Publication 541 explains partnership taxation including formation, partner basis calculations, distributions, and dispositions of partnership interests.",IRS Publication 541 – Partnerships
61,Tax Document,How is a C corporation taxed differently from a pass-through entity?,"IRS Publication 542 covers corporate tax rules, including the flat corporate tax rate, double taxation of dividends, and corporate-specific deductions.",IRS Publication 542 – Corporations
62,Tax Document,How are dividends and capital gains taxed?,"IRS Publication 550 explains investment income taxation, including the distinction between qualified and ordinary dividends and short-term versus long-term capital gains rates.",IRS Publication 550 – Investment Income and Expenses
63,Tax Document,What retirement plan options exist for a small business owner?,"IRS Publication 560 covers SEP, SIMPLE, and qualified retirement plans available to small businesses, including contribution limits and deadlines.",IRS Publication 560 – Retirement Plans for Small Business
64,Tax Document,How much can I contribute to a traditional or Roth IRA this year?,"IRS Publication 590-A details annual IRA contribution limits, deductibility phase-outs based on income, and Roth IRA eligibility rules.",IRS Publication 590-A – Contributions to IRAs
65,Tax Document,At what age must I start taking required minimum distributions from my IRA?,"IRS Publication 590-B explains RMD rules, including the applicable starting age and the penalty for failing to withdraw the required amount.",IRS Publication 590-B – Distributions from IRAs
66,Tax Document,How do I depreciate a piece of business equipment?,"IRS Publication 946 explains MACRS depreciation methods, recovery periods, and how § 179 expensing and bonus depreciation interact with regular depreciation.",IRS Publication 946 – How to Depreciate Property
67,Tax Document,Can I claim a tax credit for my child's college tuition?,"IRS Publication 970 explains education tax benefits including the American Opportunity Credit and Lifetime Learning Credit, along with their income phase-out ranges.",IRS Publication 970 – Tax Benefits for Education
68,Tax Document,What ethical standards must a tax preparer follow when representing a client before the IRS?,"Circular 230 sets out standards of practice for attorneys, CPAs, and enrolled agents, including due diligence requirements and rules against giving misleading advice.",Circular 230 – Regulations Governing Practice Before the IRS
69,Tax Document,What internal procedures does the IRS follow when conducting an audit?,"The Internal Revenue Manual documents the IRS's internal procedures for examinations, collections, and appeals, giving practitioners insight into how audits are typically conducted.",Internal Revenue Manual (IRM)
70,Tax Document,What form does an individual use to file their annual federal income tax return?,"Form 1040, U.S. Individual Income Tax Return, is the standard form individuals use to report income, claim deductions and credits, and calculate tax owed or refunded.",Form 1040 & Instructions
71,Tax Document,What form does a C corporation use to report its income tax?,"Form 1120, U.S. Corporation Income Tax Return, is used by C corporations to report income, gains, losses, deductions, and calculate their tax liability.",Form 1120 & Instructions
72,Tax Document,How do Treasury regulations define gross income beyond the statute?,"Treasury Regulation § 1.61-1 elaborates on IRC § 61, clarifying that gross income includes income realized in any form — money, property, or services.",Treasury Regulation § 1.61-1 (Gross Income)
73,Tax Document,What regulatory guidance exists on deductible business expenses?,Treasury Regulation § 1.162-1 provides interpretive guidance on what counts as an ordinary and necessary trade or business expense under IRC § 162.,Treasury Regulation § 1.162-1 (Business Expenses)
74,Tax Document,Where are the federal income tax regulations codified?,26 CFR Part 1 contains the Treasury Department's income tax regulations interpreting Title 26 (the Internal Revenue Code).,26 CFR Part 1 – Income Taxes
75,Tax Document,Where can I find official IRS revenue procedures and rulings?,"The IRS publishes revenue procedures and rulings in its Internal Revenue Bulletin, indexed and archived on IRS.gov, providing official interpretive guidance short of full regulations.",IRS Revenue Procedures & Rulings Index
76,POV / Commentary,Where does the IRS post official announcements about new tax guidance?,"The IRS Newsroom publishes official press releases, guidance summaries, and taxpayer alerts.",IRS Newsroom
77,POV / Commentary,What organization represents tax attorneys' professional interests and analysis?,"The American Bar Association's Section of Taxation provides practitioner commentary, continuing legal education, and policy analysis on tax law developments.",ABA Section of Taxation
78,POV / Commentary,Where can tax attorneys read member-focused commentary on recent developments?,The ABA Tax Times is the Section of Taxation's publication featuring articles on recent tax law developments and practice areas.,ABA Tax Times
79,POV / Commentary,Where do CPAs typically get analysis on new tax law changes?,"The Journal of Accountancy's tax section, published by the AICPA, provides CPA-focused analysis of new tax legislation, regulations, and practice guidance.",Journal of Accountancy – Tax
80,POV / Commentary,What publication is considered a leading source of in-depth tax news and analysis for professionals?,"Tax Notes, published by Tax Analysts, is widely regarded as a leading source of tax news, commentary, and primary source documents for tax professionals.",Tax Notes
81,POV / Commentary,Where can I find independent research on the economic effects of tax policy?,The Tax Foundation is an independent nonprofit that publishes research and commentary on tax policy design and its economic effects.,Tax Foundation
82,POV / Commentary,What is a nonpartisan source for tax policy analysis and modeling?,"The Urban-Brookings Tax Policy Center provides nonpartisan analysis, data, and modeling of federal and state tax policy.",Tax Policy Center
83,POV / Commentary,Is there a plain-language explainer on how the U.S. tax system works?,The Tax Policy Center's Briefing Book offers accessible explainers on how various parts of the federal tax system function.,Tax Policy Center Briefing Book
84,POV / Commentary,Where do tax professionals get daily news on legislative and regulatory tax developments?,"Bloomberg Tax News provides daily professional-grade coverage of tax legislation, regulations, and litigation.",Bloomberg Tax News
85,POV / Commentary,Which nonpartisan body provides Congress with tax revenue estimates and analysis?,"The Joint Committee on Taxation (JCT) is Congress's nonpartisan body providing revenue estimates, technical analysis, and reports on tax legislation.",Joint Committee on Taxation Reports
86,POV / Commentary,Where can I find nonpartisan legislative research reports on tax topics?,The Congressional Research Service publishes nonpartisan reports analyzing tax legislation and policy issues for members of Congress.,Congressional Research Service – Tax Reports
87,POV / Commentary,What government body audits IRS administration and tax compliance issues?,"The Government Accountability Office (GAO) publishes reports reviewing IRS administration, tax compliance, and government program effectiveness.",GAO Tax Policy & Administration Reports
88,POV / Commentary,Where can I find the IRS's own independent assessment of taxpayer service problems?,The National Taxpayer Advocate's Annual Report to Congress identifies the most serious problems taxpayers face and recommends improvements.,National Taxpayer Advocate – Annual Report to Congress
89,POV / Commentary,What professional body advocates for CPA tax practitioners?,"The AICPA Tax Section provides resources, advocacy, and guidance for CPAs practicing in tax.",AICPA Tax Section
90,POV / Commentary,Where does mainstream business press cover tax topics for a general audience?,Forbes' Taxes section covers tax law developments and planning topics for a broad business and consumer audience.,Forbes – Taxes
91,POV / Commentary,Where does the financial press cover major federal tax legislation?,"The Wall Street Journal's Tax section covers major tax legislation, IRS actions, and their business and market implications.",The Wall Street Journal – Tax
92,POV / Commentary,Where can I find legal news coverage of major tax litigation?,"Reuters Legal covers major litigation and regulatory developments, including significant tax cases.",Reuters Legal
93,POV / Commentary,What is a common practitioner research platform for tracking tax law changes?,"Thomson Reuters Checkpoint provides tax professionals with news, primary sources, and research tools for tracking law changes.",Thomson Reuters Checkpoint – Tax News
94,POV / Commentary,Where can I find conservative-leaning analysis of tax policy proposals?,The American Enterprise Institute publishes tax policy research and commentary generally reflecting a market-oriented perspective.,American Enterprise Institute – Tax Policy
95,POV / Commentary,Where can I find progressive-leaning analysis of tax policy proposals?,"The Brookings Institution publishes tax policy research and commentary, often reflecting a more progressive policy perspective.",Brookings Institution – Taxes
96,POV / Commentary,Where can I find academic economic research on taxation?,The National Bureau of Economic Research's Public Economics program hosts working papers analyzing the economic effects of taxation.,NBER Public Economics Program
97,POV / Commentary,Which Treasury office conducts internal tax policy analysis?,The Treasury Department's Office of Tax Analysis conducts revenue estimation and economic analysis supporting tax policy development.,Treasury Office of Tax Analysis
98,POV / Commentary,Where can I find academic legal scholarship on tax law before formal journal publication?,SSRN's Tax Law & Economics abstracts database hosts working papers and pre-publication legal scholarship on taxation.,SSRN Tax Law & Economics Abstracts
99,POV / Commentary,What is a leading peer-reviewed academic journal focused specifically on tax law?,The NYU Tax Law Review is a peer-reviewed academic journal publishing in-depth scholarly analysis of federal tax law.,NYU Tax Law Review
100,POV / Commentary,What nonpartisan research organization studies the intersection of tax and social policy?,"The Urban Institute, co-publisher of the Tax Policy Center, studies how tax policy interacts with social and economic policy issues.",Urban Institute – Tax Policy
